,pk,name,thumbnail,brand,price
0,26141692,Extrait de Cedrat,26141692.jpg,AntonioVisconti,221.0
1,26143465,Bois d'Oud,26143465.jpg,Detaille,9.99
2,26121714,Xeryus Rouge,26121714.jpg,Givenchy,54.02
